episode_key,sequence_id,athlete_name,episode_id,path_signature,step_index,step_hidden_state,step_observed_feature,confidence
48::Акрамов Б.Б.::1::0,48::Акрамов Б.Б.,Акрамов Б.Б.,1,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Акрамов Б.Б.::1::0,48::Акрамов Б.Б.,Акрамов Б.Б.,1,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Акрамов Б.Б.::1::0,48::Акрамов Б.Б.,Акрамов Б.Б.,1,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Акрамов Б.Б.::1::0,48::Акрамов Б.Б.,Акрамов Б.Б.,1,S1->S2->S3->O0,4,O,O0,1.0
48::Акрамов Б.Б.::2::1,48::Акрамов Б.Б.,Акрамов Б.Б.,2,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Акрамов Б.Б.::2::1,48::Акрамов Б.Б.,Акрамов Б.Б.,2,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Акрамов Б.Б.::2::1,48::Акрамов Б.Б.,Акрамов Б.Б.,2,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Акрамов Б.Б.::2::1,48::Акрамов Б.Б.,Акрамов Б.Б.,2,S1->S2->S3->O0,4,O,O0,1.0
48::Акрамов Б.Б.::3::2,48::Акрамов Б.Б.,Акрамов Б.Б.,3,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Акрамов Б.Б.::3::2,48::Акрамов Б.Б.,Акрамов Б.Б.,3,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=3.0000;hooks=0.0000;posts=0.0000,1.0
48::Акрамов Б.Б.::3::2,48::Акрамов Б.Б.,Акрамов Б.Б.,3,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Акрамов Б.Б.::3::2,48::Акрамов Б.Б.,Акрамов Б.Б.,3,S1->S2->S3->O0,4,O,O0,1.0
48::Акрамов Б.Б.::4::3,48::Акрамов Б.Б.,Акрамов Б.Б.,4,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Акрамов Б.Б.::4::3,48::Акрамов Б.Б.,Акрамов Б.Б.,4,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=3.0000;hooks=0.0000;posts=0.0000,1.0
48::Акрамов Б.Б.::4::3,48::Акрамов Б.Б.,Акрамов Б.Б.,4,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Акрамов Б.Б.::4::3,48::Акрамов Б.Б.,Акрамов Б.Б.,4,S1->S2->S3->O0,4,O,O0,1.0
48::Рузанов А.О.::1::4,48::Рузанов А.О.,Рузанов А.О.,1,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Рузанов А.О.::1::4,48::Рузанов А.О.,Рузанов А.О.,1,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Рузанов А.О.::1::4,48::Рузанов А.О.,Рузанов А.О.,1,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Рузанов А.О.::1::4,48::Рузанов А.О.,Рузанов А.О.,1,S1->S2->S3->O0,4,O,O0,1.0
